latitud,longitud,profundidad
-20.42,181.62,562
-20.62,181.03,650
-26,184.1,42
-17.97,181.66,626
-20.42,181.96,649
-19.68,184.31,195
-11.7,166.1,82
-28.11,181.93,194
-28.74,181.74,211
-17.47,179.59,622
-21.44,180.69,583
-12.26,167,249
-18.54,182.11,554
-21,181.66,600
-20.7,169.92,139
-15.94,184.95,306
-13.64,165.96,50
-17.83,181.5,590
-23.5,179.78,570
-22.63,180.31,598
-20.84,181.16,576
-10.98,166.32,211
-23.3,180.16,512
-30.2,182,125
-19.66,180.28,431
-17.94,181.49,537
-14.72,167.51,155
-16.46,180.79,498
-20.97,181.47,582
-19.84,182.37,328
-22.58,179.24,553
-16.32,166.74,50
-15.55,185.05,292
-23.55,180.8,349
-16.3,186,48
-25.82,179.33,600
-18.73,169.23,206
-17.64,181.28,574
-17.66,181.4,585
-18.82,169.33,230
-37.37,176.78,263
-15.31,186.1,96
-24.97,179.82,511
-15.49,186.04,94
-19.23,169.41,246
-30.1,182.3,56
-26.4,181.7,329
-11.77,166.32,70
-24.12,180.08,493
-18.97,185.25,129
-18.75,182.35,554
-19.26,184.42,223
-22.75,173.2,46
-21.37,180.67,593
-20.1,182.16,489
-19.85,182.13,562
-22.7,181,445
-22.06,180.6,584
-17.8,181.35,535
-24.2,179.2,530
-20.69,181.55,582
-21.16,182.4,260
-13.82,172.38,613
-11.49,166.22,84
-20.68,181.41,593
-17.1,184.93,286
-20.14,181.6,587
-21.96,179.62,627
-20.42,181.86,530
-15.46,187.81,40
-15.31,185.8,152
-19.86,184.35,201
-11.55,166.2,96
-23.74,179.99,506
-17.7,181.23,546
-23.54,180.04,564
-19.21,184.7,197
-12.11,167.06,265
-21.81,181.71,323
-28.98,181.11,304
-34.02,180.21,75
-23.84,180.99,367
-19.57,182.38,579
-20.12,183.4,284
-17.7,181.7,450
-19.66,184.31,170
-21.5,170.5,117
-23.64,179.96,538
-15.43,186.3,123
-15.41,186.44,69
-15.48,167.53,128
-13.36,167.06,236
-20.64,182.02,497
-19.72,169.71,271
-15.44,185.26,224
-19.73,182.4,375
-27.24,181.11,365
-18.16,183.41,306
-13.66,166.54,50
-24.57,179.92,484
-16.98,185.61,108
-26.2,178.41,583
-21.88,180.39,608
-33,181.6,72
-21.33,180.69,636
-19.44,183.5,293
-34.89,180.6,42
-20.24,169.49,100
-22.55,185.9,42
-36.95,177.81,146
-15.75,185.23,280
-16.85,182.31,388
-19.06,182.45,477
-26.11,178.3,617
-26.2,178.35,606
-26.13,178.31,609
-13.66,172.23,46
-13.47,172.29,64
-14.6,167.4,178
-18.96,169.48,248
-14.65,166.97,82
-19.9,178.9,81
-22.05,180.4,606
-19.22,182.43,571
-31.24,180.6,328
-17.93,167.89,49
-19.3,183.84,517
-26.53,178.57,600
-27.72,181.7,94
-19.19,183.51,307
-17.43,185.43,189
-17.05,181.22,527
-19.52,168.98,63
-23.71,180.3,510
-21.3,180.82,624
-16.24,168.02,53
-16.14,187.32,42
-23.95,182.8,199
-25.2,182.6,149
-18.84,184.16,210
-12.66,169.46,658
-20.65,181.4,582
-13.23,167.1,220
-29.91,181.43,205
-14.31,173.5,614
-20.1,184.4,186
-17.8,185.17,97
-21.27,173.49,48
-23.58,180.17,462
-17.9,181.5,573
-23.34,184.5,56
-15.56,167.62,127
-23.83,182.56,229
-11.8,165.8,112
-15.54,167.68,140
-20.65,181.32,597
-11.75,166.07,69
-24.81,180,452
-20.9,169.84,93
-11.34,166.24,103
-17.98,180.5,626
-24.34,179.52,504
-13.86,167.16,202
-35.56,180.2,42
-35.48,179.9,59
-34.2,179.43,40
-26,182.12,205
-19.89,183.84,244
-23.43,180,553
-18.89,169.42,239
-17.82,181.83,640
-25.68,180.34,434
-20.2,180.9,627
-15.2,184.68,99
-15.03,182.29,399
-32.22,180.2,216
-22.64,180.64,544
-17.42,185.16,206
-17.84,181.48,542
-15.02,184.24,339
-18.04,181.75,640
-24.6,183.5,67
-19.88,184.3,161
-20.3,183,375
-20.45,181.85,534
-17.67,187.09,45
-22.3,181.9,309
-19.85,181.85,576
-24.27,179.88,523
-15.85,185.13,290
-20.02,184.09,234
-18.56,169.31,223
-17.87,182,569
-24.08,179.5,605
-32.2,179.61,422
-20.36,181.19,637
-23.85,182.53,204
-24,182.75,175
-20.41,181.74,538
-17.72,180.3,595
-19.67,182.18,360
-17.7,182.2,445
-16.23,183.59,367
-26.72,183.35,190
-12.95,169.09,629
-21.97,182.32,261
-21.96,180.54,603
-20.32,181.69,508
-30.28,180.62,350
-20.2,182.3,533
-30.66,180.13,411
-16.17,184.1,338
-28.25,181.71,226
-20.47,185.68,93
-23.55,180.27,535
-20.94,181.58,573
-26.67,182.4,186
-18.13,181.52,618
-20.21,183.83,242
-18.31,182.39,342
-16.52,185.7,90
-22.36,171.65,130
-22.43,184.48,65
-20.37,182.1,397
-23.77,180.16,505
-13.65,166.66,71
-21.55,182.9,207
-16.24,185.75,154
-23.73,182.53,232
-22.34,171.52,106
-19.4,180.94,664
-24.64,180.81,397
-16,182.82,431
-19.62,185.35,57
-23.84,180.13,525
-23.54,179.93,574
-28.23,182.68,74
-21.68,180.63,617
-13.44,166.53,44
-24.96,180.22,470
-20.08,182.74,298
-24.36,182.84,148
-14.7,166,48
-18.2,183.68,107
-16.65,185.51,218
-18.11,181.67,597
-17.95,181.65,619
-15.5,186.9,46
-23.36,180.01,553
-19.15,169.5,150
-10.97,166.26,180
-14.85,167.24,97
-17.8,181.38,587
-22.5,170.4,106
-29.1,182.1,179
-20.32,180.88,680
-16.09,184.89,304
-19.18,169.33,254
-23.81,179.36,521
-23.79,179.89,526
-19.02,184.23,270
-20.9,181.51,548
-19.06,169.01,158
-17.88,181.47,562
-19.41,183.05,300
-26.17,184.2,65
-14.95,167.24,130
-18.73,168.8,82
-20.21,182.37,482
-21.29,180.85,607
-19.76,181.41,105
-22.09,180.38,590
-23.8,179.9,498
-20.16,181.99,504
-22.13,180.38,577
-17.44,181.4,529
-23.33,180.18,528
-24.78,179.22,492
-22,180.52,561
-19.13,182.51,579
-30.72,180.1,413
-22.32,180.54,565
-16.45,177.77,138
-17.7,185,383
-17.95,184.68,260
-24.4,179.85,522
-19.3,180.6,671
-21.13,185.32,123
-18.07,181.57,572
-20.6,182.28,529
-18.48,181.49,641
-13.34,166.2,67
-20.92,181.5,546
-25.31,179.69,507
-15.24,186.21,158
-16.4,185.86,148
-24.57,178.4,562
-17.94,181.51,601
-30.64,181.2,175
-18.64,169.32,260
-13.09,169.28,654
-19.68,184.14,242
-16.44,185.74,126
-21.09,181.38,555
-14.99,171.39,637
-23.3,179.7,500
-17.68,181.36,515
-22,180.53,583
-21.38,181.39,501
-32.62,181.5,55
-13.05,169.58,644
-12.93,169.63,641
-18.6,181.91,442
-21.34,181.41,464
-21.48,183.78,200
-17.4,181.02,479
-17.32,181.03,497
-18.77,169.24,218
-26.16,179.5,492
-12.59,167.1,325
-14.82,167.32,123
-21.79,183.48,210
-19.83,182.04,575
-29.5,182.31,129
-12.49,166.36,74
-26.1,182.3,49
-21.04,181.2,483
-10.78,165.77,93
-20.76,185.77,118
-11.41,166.24,83
-19.1,183.87,61
-23.91,180,534
-27.33,182.6,42
-12.25,166.6,219
-23.49,179.07,544
-27.18,182.18,56
-25.8,182.1,68
-27.19,182.18,69
-27.27,182.38,45
-27.1,182.18,43
-27.22,182.28,65
-27.38,181.7,80
-27.27,182.5,51
-27.54,182.5,68
-27.2,182.39,69
-27.71,182.47,103
-27.6,182.4,61
-27.38,182.39,69
-21.54,185.48,51
-27.21,182.43,55
-28.96,182.61,54
-12.01,166.29,59
-17.46,181.32,573
-30.17,182.02,56
-27.27,182.36,65
-17.79,181.32,587
-22.19,171.4,150
-17.1,182.68,403
-27.18,182.53,60
-11.64,166.47,130
-17.98,181.58,590
-16.9,185.72,135
-21.98,179.6,583
-32.14,179.9,406
-18.8,169.21,221
-26.78,183.61,40
-20.43,182.37,502
-18.3,183.2,103
-15.83,182.51,423
-23.44,182.93,158
-23.73,179.99,527
-19.89,184.08,219
-17.59,181.09,536
-19.77,181.4,630
-20.31,184.06,249
-15.33,186.75,48
-18.2,181.6,553
-15.36,186.66,112
-15.29,186.42,153
-15.36,186.71,130
-16.24,167.95,188
-13.47,167.14,226
-25.5,182.82,124
-14.32,167.33,204
-20.04,182.01,605
-28.83,181.66,221
-17.82,181.49,573
-27.23,180.98,401
-10.72,165.99,195
-27,183.88,56
-20.36,186.16,102
-27.17,183.68,44
-20.94,181.26,556
-17.46,181.9,417
-21.04,181.2,591
-23.7,179.6,646
-17.72,181.42,565
-15.87,188.13,52
-17.84,181.3,535
-13.45,170.3,641
-30.8,182.16,41
-11.63,166.14,109
-30.4,181.4,40
-26.18,178.59,548
-15.7,184.5,118
-17.95,181.5,593
-20.51,182.3,492
-15.36,167.51,123
-23.61,180.23,475
-33.2,181.6,153
-17.68,186.8,112
-22.24,184.56,99
-20.07,169.14,66
-25.04,180.1,481
-21.5,185.2,139
-14.28,167.26,211
-14.43,167.26,151
-32.7,181.7,211
-34.1,181.8,246
-19.7,186.2,47
-24.19,180.38,484
-26.6,182.77,119
-17.04,186.8,70
-22.1,179.71,579
-32.6,180.9,57
-33,182.4,176
-20.58,181.24,602
-20.61,182.6,488
-19.47,169.15,149
-17.47,180.96,546
-18.4,183.4,343
-23.33,180.26,530
-18.55,182.23,563
-26.16,178.47,537
-21.8,183.2,325
-27.63,182.93,80
-18.89,169.48,259
-20.3,182.3,476
-20.56,182.04,499
-16.1,185.32,257
-12.66,166.37,165
-21.05,184.68,136
-17.97,168.52,146
-19.83,182.54,524
-22.55,183.81,82
-22.28,183.52,90
-15.72,185.64,138
-20.85,181.59,499
-21.11,181.5,538
-25.31,180.15,467
-26.46,182.5,184
-24.09,179.68,538
-16.96,167.7,45
-23.19,182.8,237
-20.81,184.7,162
-15.03,167.32,136
-18.06,181.59,604
-19,185.6,107
-23.53,179.99,538
-18.18,180.63,639
-15.66,186.8,45
-18,180.62,636
-18.08,180.7,628
-18.05,180.86,632
-29.9,181.16,215
-20.9,181.9,556
-15.61,167.5,135
-16.03,185.43,297
-17.68,181.11,568
-31.94,180.57,168
-19.14,184.36,269
-18,185.48,143
-16.95,185.94,95
-10.79,166.06,142
-20.83,185.9,104
-32.9,181.6,169
-37.93,177.47,65
-29.09,183.2,54
-23.56,180.23,474
-19.6,185.2,125
-21.39,180.68,617
-14.85,184.87,294
-22.7,183.3,180
-32.42,181.21,47
-17.9,181.3,593
-23.58,183.4,94
-34.4,180.5,201
-17.61,181.2,537
-21.07,181.13,594
-13.84,170.62,638
-30.24,181.63,80
-18.49,169.04,211
-23.45,180.23,520
-16.04,183.54,384
-17.14,185.31,223
-22.54,172.91,54
-15.9,185.3,57
-30.04,181.2,49
-24.03,180.22,508
-18.89,184.46,242
-16.51,187.1,62
-20.1,186.3,63
-21.06,183.81,203
-13.07,166.87,132
-23.46,180.09,543
-19.41,182.3,589
-11.81,165.98,51
-11.76,165.96,45
-12.08,165.76,63
-25.59,180.02,485
-26.54,183.63,66
-20.9,184.28,58
-16.99,187,70
-23.46,180.17,541
-17.81,181.82,598
-15.17,187.2,50
-11.67,166.02,102
-20.75,184.52,144
-19.5,186.9,58
-26.18,179.79,460
-20.66,185.77,69
-19.22,182.54,570
-24.68,183.33,70
-15.43,167.38,137
-32.45,181.15,41
-21.31,180.84,586
-15.44,167.18,140
-13.26,167.01,213
-15.26,183.13,393
-33.57,180.8,51
-15.77,167.01,64
-15.79,166.83,45
-21,183.2,296
-16.28,166.94,50
-23.28,184.6,44
-16.1,167.25,68
-17.7,181.31,549
-15.96,166.69,150
-15.95,167.34,47
-17.56,181.59,543
-15.9,167.42,40
-15.29,166.9,100
-15.86,166.85,85
-16.2,166.8,98
-15.71,166.91,58
-16.45,167.54,125
-11.54,166.18,89
-19.61,181.91,590
-15.61,187.15,49
-21.16,181.41,543
-20.65,182.22,506
-20.33,168.71,40
-15.08,166.62,42
-23.28,184.61,76
-23.44,184.6,63
-23.12,184.42,104
-23.65,184.46,93
-22.91,183.95,64
-22.06,180.47,587
-13.56,166.49,83
-17.99,181.57,579
-23.92,184.47,40
-30.69,182.1,62
-21.92,182.8,273
-25.04,180.97,393
-19.92,183.91,264
-27.75,182.26,174
-17.71,181.18,574
-19.6,183.84,309
-34.68,179.82,75
-14.46,167.26,195
-18.85,187.55,44
-17.02,182.41,420
-20.41,186.51,63
-18.18,182.04,609
-16.49,187.8,40
-17.74,181.31,575
-20.49,181.69,559
-18.51,182.64,405
-27.28,183.4,70
-15.9,167.16,41
-20.57,181.33,605
-11.25,166.36,130
-20.04,181.87,577
-20.89,181.25,599
-16.62,186.74,82
-20.09,168.75,50
-24.96,179.87,480
-20.95,181.42,559
-23.31,179.27,566
-20.95,181.06,611
-21.58,181.9,409
-13.62,167.15,209
-12.72,166.28,70
-21.79,185,74
-20.48,169.76,134
-12.84,166.78,150
-17.02,182.93,406
-23.89,182.39,243
-23.07,184.03,89
-27.98,181.96,53
-28.1,182.25,68
-21.24,180.81,605
-21.24,180.86,615
-19.89,174.46,546
-32.82,179.8,176
-22,185.5,52
-21.57,185.62,66
-24.5,180.92,377
-33.03,180.2,186
-30.09,182.4,51
-22.75,170.99,67
-17.99,168.98,234
-19.6,181.87,597
-15.65,186.26,64
-17.78,181.53,511
-22.04,184.91,47
-20.06,168.69,49
-18.07,181.54,546
-12.85,165.67,75
-33.29,181.3,60
-34.63,179.1,278
-24.18,179.02,550
-23.78,180.31,518
-22.37,171.5,116
-23.97,179.91,518
-34.12,181.75,75
-25.25,179.86,491
-22.87,172.65,56
-18.48,182.37,376
-21.46,181.02,584
-28.56,183.47,48
-28.56,183.59,53
-21.3,180.92,617
-20.08,183.22,294
-18.82,182.21,417
-19.51,183.97,280
-12.05,167.39,332
-17.4,186.54,85
-23.93,180.18,525
-21.23,181.09,613
-16.23,167.91,182
-28.15,183.4,57
-20.81,185.01,79
-20.72,181.41,595
-23.29,184,164
-38.46,176.03,148
-15.48,186.73,82
-37.03,177.52,153
-20.48,181.38,556
-18.12,181.88,649
-18.17,181.98,651
-11.4,166.07,93
-23.1,180.12,533
-14.28,170.34,642
-22.87,171.72,47
-17.59,180.98,548
-27.6,182.1,154
-17.94,180.6,627
-17.88,180.58,622
-30.01,180.8,286
-19.19,182.3,390
-18.14,180.87,624
-23.46,180.11,539
-18.44,181.04,624
-18.21,180.87,631
-18.26,180.98,631
-15.85,184.83,299
-23.82,180.09,498
-18.6,184.28,255
-17.8,181.32,539
-10.78,166.1,195
-18.12,181.71,594
-19.34,182.62,573
-15.34,167.1,128
-24.97,182.85,137
-15.97,186.08,143
-23.47,180.24,511
-23.11,179.15,564
-20.54,181.66,559
-18.92,169.37,248
-20.16,184.27,210
-25.48,180.94,390
-18.19,181.74,616
-15.35,186.4,98
-18.69,169.1,218
-18.89,181.24,655
-17.61,183.32,356
-20.93,181.54,564
-17.6,181.5,548
-17.96,181.4,655
-18.8,182.41,385
-20.61,182.44,518
-20.74,181.53,598
-25.23,179.86,476
-23.9,179.9,579
-18.07,181.58,603
-15.43,185.19,249
-14.3,167.32,208
-18.04,181.57,587
-13.9,167.18,221
-17.64,177.01,545
-17.98,181.51,586
-25,180,488
-19.45,184.48,246
-16.11,187.48,61
-23.73,179.98,524
-17.74,186.78,104
-21.56,183.23,271
-20.97,181.72,487
-15.45,186.73,83
-15.93,167.91,183
-21.47,185.86,55
-21.44,170.45,166
-22.16,180.49,586
-13.36,172.76,618
-21.22,181.51,524
-26.1,182.5,133
-18.35,185.27,201
-17.2,182.9,383
-22.42,171.4,86
-17.91,181.48,555
-26.53,178.3,605
-26.5,178.29,609
-16.31,168.08,204
-18.76,169.71,287
-17.1,182.8,390
-19.28,182.78,348
-23.5,180,550
-21.26,181.69,487
-17.97,181.48,578
-26.02,181.2,361
-30.3,180.8,275
-24.89,179.67,498
-14.57,167.24,162
-15.4,186.87,78
-22.06,183.95,134
-25.14,178.42,554
-20.3,181.4,608
-25.28,181.17,367
-20.63,181.61,599
-19.02,186.83,45
-22.1,185.3,50
-38.59,175.7,162
-19.3,183,302
-31.03,181.59,57
-30.51,181.3,203
-22.55,183.34,66
-22.14,180.64,591
-25.6,180.3,440
-18.04,181.84,611
-21.29,185.77,57
-21.08,180.85,627
-20.64,169.66,89
-24.41,180.03,500
-12.16,167.03,264
-17.1,185.9,127
-21.13,185.6,85
-12.34,167.43,50
-16.43,186.73,75
-20.7,184.3,182
-21.18,180.92,619
-17.78,185.33,223
-21.57,183.86,156
-13.7,166.75,46
-12.27,167.41,50
-19.1,184.52,230
-19.85,184.51,184
-11.37,166.55,188
-20.7,186.3,80
-20.24,185.1,86
-16.4,182.73,391
-19.6,184.53,199
-21.63,180.77,592
-21.6,180.5,595
-21.77,181,618
-21.8,183.6,213
-21.05,180.9,616
-10.8,165.8,175
-17.9,181.5,589
-22.26,171.44,83
-22.33,171.46,119
-24.04,184.85,70
-20.4,186.1,74
-15,184.62,40
-27.87,183.4,87
-14.12,166.64,63
-23.61,180.27,537
-21.56,185.5,47
-21.19,181.58,490
-18.07,181.65,593
-26,178.43,644
-20.21,181.9,576
-28,182,199
-20.74,180.7,589
-31.8,180.6,178
-18.91,169.46,248
-20.45,182.1,500
-22.9,183.8,71
-18.11,181.63,568
-23.8,184.7,42
-23.42,180.21,510
-23.2,184.8,97
-12.93,169.52,663
-21.14,181.06,625
-19.13,184.97,210
-21.08,181.3,557
-20.07,181.75,582
-20.9,182.02,402
-25.04,179.84,474
-21.85,180.89,577
-19.34,186.59,56
-15.83,167.1,43
-23.73,183,118
-18.1,181.72,544
-22.12,180.49,532
-15.39,185.1,237
-16.21,186.52,111
-21.75,180.67,595
-22.1,180.4,603
-24.97,179.54,505
-19.36,186.36,100
-22.14,179.62,587
-21.48,182.44,364
-18.54,168.93,100
-21.62,182.4,350
-13.4,166.9,228
-15.5,185.3,93
-15.67,185.23,66
-21.78,183.11,225
-30.63,180.9,334
-15.7,185.1,70
-19.2,184.37,220
-19.7,182.44,397
-19.4,182.29,326
-15.85,185.9,121
-17.38,168.63,209
-24.33,179.97,510
-20.89,185.26,54
-18.97,169.44,242
-17.99,181.62,574
-15.8,185.25,82
-25.42,182.65,102
-21.6,169.9,43
-26.06,180.05,432
-17.56,181.23,580
-25.63,180.26,464
-25.46,179.98,479
-22.23,180.48,581
-21.55,181.39,513
-15.18,185.93,77
-13.79,166.56,68
-15.18,167.23,71
-18.78,186.72,68
-17.9,181.41,586
-18.5,185.4,243
-14.82,171.17,658
-15.65,185.17,315
-30.01,181.15,210
-13.16,167.24,278
-21.03,180.78,638
-21.4,180.78,615
-17.93,181.89,567
-20.87,181.7,560
-12.01,166.66,99
-19.1,169.63,266
-22.85,181.37,397
-17.08,185.96,180
-21.14,174.21,40
-12.23,167.02,242
-20.91,181.57,530
-11.38,167.05,133
-11.02,167.01,62
-22.09,180.58,580
-17.8,181.2,530
-18.94,182.43,566
-18.85,182.2,501
-21.91,181.28,548
-22.03,179.77,587
-18.1,181.63,592
-18.4,184.84,221
-21.2,181.4,560
-12,166.2,94
-11.7,166.3,139
-26.72,182.69,162
-24.39,178.98,562
-19.64,169.5,204
-21.35,170.04,56
-22.82,184.52,49
-38.28,177.1,100
-12.57,167.11,231
-22.24,180.28,601
-13.8,166.53,42
-21.07,183.78,180
-17.74,181.25,559
-23.87,180.15,524
-21.29,185.8,69
-22.2,180.58,594
-15.24,185.11,262
-17.82,181.27,538
-32.14,180,331
-19.3,185.86,48
-33.09,180.94,47
-20.18,181.62,558
-17.46,181.42,524
-17.44,181.33,545
-24.71,179.85,477
-21.53,170.52,129
-19.17,169.53,268
-28.05,182.39,117
-23.39,179.97,541
-22.33,171.51,112
-15.28,185.98,162
-20.27,181.51,609
-10.96,165.97,76
-21.52,169.75,61
-19.57,184.47,202
-23.08,183.45,90
-25.06,182.8,133
-17.85,181.44,589
-15.99,167.95,190
-20.56,184.41,138
-17.98,181.61,598
-18.4,181.77,600
-27.64,182.22,162
-20.99,181.02,626
-14.86,167.32,137
-29.33,182.72,57
-25.81,182.54,201
-14.1,166.01,69
-17.63,185.13,219
-23.47,180.21,553
-23.92,180.21,524
-20.88,185.18,51
-20.25,184.75,107
-19.33,186.16,44
-18.14,181.71,574
-22.41,183.99,128
-20.77,181.16,568
-17.95,181.73,583
-20.83,181.01,622
-27.84,182.1,193
-19.94,182.39,544
-23.6,183.99,118
-23.7,184.13,51
-30.39,182.4,63
-18.98,182.32,442
-27.89,182.92,87
-23.5,184.9,61
-23.73,184.49,60
-17.93,181.62,561
-35.94,178.52,138
-18.68,184.5,174
-23.47,179.95,543
-23.49,180.06,530
-23.85,180.26,497
-27.08,183.44,63
-20.88,184.95,82
-20.97,181.2,605
-21.71,183.58,234
-23.9,184.6,41
-15.78,167.44,40
-12.57,166.72,137
-19.69,184.23,223
-22.04,183.95,109
-17.99,181.59,595
-23.5,180.13,512
-21.4,180.74,613
-15.86,166.98,60
-23.95,184.64,43
-25.79,182.38,172
-23.75,184.5,54
-24.1,184.5,68
-18.56,169.05,217
-23.3,184.68,102
-17.03,185.74,178
-20.77,183.71,251
-28.1,183.5,42
-18.83,182.26,575
-23,170.7,43
-20.82,181.67,577
-22.95,170.56,42
-28.22,183.6,75
-27.99,183.5,71
-15.54,187.15,60
-12.37,166.93,291
-22.33,171.66,125
-22.7,170.3,69
-17.86,181.3,614
-16,184.53,108
-20.73,181.42,575
-15.45,181.42,409
-20.05,183.86,243
-17.95,181.37,642
-17.7,188.1,45
-25.93,179.54,470
-12.28,167.06,248
-20.13,184.2,244
-17.4,187.8,40
-21.59,170.56,165
